,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.367,0.03,0.31,0.421,0.0,0.0,11987.0,7290.0,1.0
Intercept,-1.242,0.299,-1.789,-0.645,0.005,0.005,4119.0,4915.0,1.0
LearningRate[LR0001],0.989,0.164,0.671,1.285,0.002,0.002,6690.0,7695.0,1.0
LearningRate[LateDecayLR],0.62,0.164,0.3,0.914,0.002,0.001,5806.0,7443.0,1.0
Climate[Hot],0.589,0.22,0.192,0.961,0.003,0.006,5661.0,5810.0,1.0
Climate[Mix],2.179,0.227,1.781,2.552,0.003,0.012,5907.0,4476.0,1.0
"LearningRate:Climate[LR0001, Hot]",-0.393,0.231,-0.815,0.052,0.003,0.002,7198.0,7760.0,1.0
"LearningRate:Climate[LR0001, Mix]",-0.441,0.229,-0.876,-0.017,0.003,0.002,7426.0,8359.0,1.0
"LearningRate:Climate[LateDecayLR, Hot]",-0.522,0.231,-0.948,-0.078,0.003,0.002,6518.0,8222.0,1.0
"LearningRate:Climate[LateDecayLR, Mix]",-0.546,0.234,-0.979,-0.103,0.003,0.002,7046.0,8265.0,1.0
1|PolicySeed_sigma,0.57,0.338,0.18,1.123,0.007,0.012,2709.0,4043.0,1.0
1|Climate:EvalSeed_sigma,0.09,0.128,0.0,0.254,0.003,0.012,3729.0,3145.0,1.0
1|PolicySeed[42],-0.205,0.272,-0.722,0.321,0.004,0.004,3941.0,5186.0,1.0
1|PolicySeed[88],-0.067,0.271,-0.604,0.433,0.004,0.005,3886.0,5232.0,1.0
1|PolicySeed[133],-0.422,0.272,-0.941,0.098,0.004,0.004,4091.0,5572.0,1.0
1|PolicySeed[151],0.556,0.272,0.026,1.059,0.004,0.005,3954.0,4940.0,1.0
1|PolicySeed[198],0.116,0.271,-0.401,0.633,0.005,0.004,3733.0,5194.0,1.0
1|Climate:EvalSeed[Cool:133],-0.0,0.109,-0.181,0.195,0.001,0.006,9209.0,6269.0,1.0
1|Climate:EvalSeed[Cool:212],-0.002,0.109,-0.188,0.18,0.001,0.007,9232.0,6559.0,1.0
1|Climate:EvalSeed[Hot:133],0.001,0.115,-0.201,0.167,0.001,0.006,9264.0,5732.0,1.0
1|Climate:EvalSeed[Hot:212],0.001,0.114,-0.183,0.186,0.001,0.006,9195.0,6046.0,1.0
1|Climate:EvalSeed[Mix:133],-0.003,0.125,-0.182,0.187,0.002,0.014,9314.0,5850.0,1.0
1|Climate:EvalSeed[Mix:212],-0.0,0.126,-0.179,0.198,0.002,0.014,9750.0,5881.0,1.0
